company,name,year,TA,size,liquid_ratio,Operating_Expense_Ratio,Cash_Flow_Ratio,GDP,PAC,underwriting_revenue,brokerage_revenue,netprofit_growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000884,玉山證券,2008,4373594,15,321.56,92.35,230.28,0.8,0,3660,357310,118.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000616,中信證券,2008,9873526,16,198.85,185.95,47.48,0.8,0,36548,270363,160.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,群益證券,2008,47435284,18,132.69,,42.81,0.8,0,107425,3114413,329.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000815,台新證券,2008,242001,12,"7,252.89",136.47,214.39,0.8,0,0,16850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000116,日盛證券,2008,45727397,18,160.41,69.32,71.07,0.8,0,49232,3291625,84.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000888,國泰證券,2008,5893626,16,267.68,110.61,23.72,0.8,0,8140,334365,388.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000930,華南永昌證券,2008,17846057,17,186.09,99.59,139.61,,0,23286,1706209,117.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009A0,永豐金證券,2008,52431574,18,158.95,89.75,54.95,,0,142632,3411654,123.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000885,鑫豐證券,2008,206708,12,793.1,157.83,98.35,0.8,1,13,31594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000779,國票證券,2008,20735543,17,164.79,106.8,49.15,0.8,0,2929,1152672,104.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2856,元富證券,2008,50943783,18,137.24,125.47,38.55,0.8,0,124845,2466365,452.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000102,合作金庫證券,2008,,,,,,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000025,基富通證券,2008,,,,,,-1.61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2854,寶來證券,2008,74130749,18,145.19,188.78,22.1,-1.61,7,81104,4532849,169.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
